COMID,lat,lon,frac_1,frac_2,frac_5,frac_6,frac_8,frac_10,frac_14,frac_15,frac_16,frac_17,frac_18,frac_19
71028974,51.4379526828019,-116.15269816878,0.768919289112091,0,0,0,0.0228499341756105,0.104509212076664,0,0,0.0687141269445419,0.0293592102825642,0.00564824230968952,0
71029016,51.4097199014567,-116.177020672665,0.832720279693604,0,0,0,0.0035388667602092,0.00333558768033981,0,0,0.00384417036548257,0.139616400003433,0.0169447027146816,0
71029022,51.4227884615385,-116.180256410256,0.368740439414978,0,0,0,0,0.023846996948123,0,0,0,0.607249855995178,0.000162703203386627,0
71029042,51.2675927230047,-114.996454225352,0.557284712791443,0,0,0,0.132843479514122,0.136515066027641,0.00141049490775913,0,0.0648231506347656,0.0317619293928146,0.0753611549735069,0
71029071,51.4421162528217,-116.200753386004,0.83906102180481,0,0,0,0.00368737359531224,0.0114386100322008,0,0,0.000755075423512608,0.129879415035248,0.015178426168859,0
71029118,51.2192052321883,-115.48006480598,0.584015190601349,0,0,0,0.0102485893294215,0.121424205601215,0.000132582004880533,0.000609877228271216,0.23538726568222,0.0345004573464394,0.01358905993402,9.28074077819474e-05
71029391,51.3389050540881,-114.949130794305,0.472884744405746,0,0.000689144304487854,0.011953167617321,0.385327458381653,0.108691871166229,0.000328545545926318,4.80798371427227e-05,0.00187456060666591,0.0117189744487405,0.00648340955376625,0
71029448,51.3041755054204,-115.539586727219,0.521248936653137,0.000215346502955072,0,0,0.0114525072276592,0.0690936148166656,0,0.000303442793665454,0.384625107049942,0,0.0127771776169538,0.000283865840174258
71029450,51.3429166666667,-115.605,0.00950540322810411,0,0,0,0,0.873558700084686,0,0,0.116935811936855,0,0,0
71029528,51.5233515605415,-116.281869150581,0.772709310054779,0,0,0,0.0137960407882929,0.0532332770526409,0,0,0.134277775883675,0.00682484311982989,0.0184641350060701,0.000694621237926185
71029639,51.2525703171753,-115.028191202872,0.837352633476257,0,0,0,0.0378487296402454,0.037589818239212,0,0,0.0302902776747942,0,0.0569185987114906,0
71029721,51.4101647317783,-115.08932713814,0.87116014957428,0,0,0,0.0656313300132751,0.0319809503853321,0,0.000249645905569196,0.00211864244192839,0.0211198981851339,0.00773935625329614,0
71029778,51.6116902882912,-116.311351935363,0.514145791530609,0,0,0,0.00371696962974966,0.0169296599924564,0,0,0.438038885593414,0.00596044212579727,0.00747959734871984,0.0137286148965359
71029798,51.1452889825406,-115.673966987758,0.868513524532318,0,0,0,0.00584131153300405,0.00456341309472919,0,0,0.0920349210500717,0.0168764088302851,0.0121704610064626,0
71029800,51.3797421394941,-115.65553627005,0.584868788719177,0.000120167402201332,0,0.000260362692642957,0.0480934232473373,0.137770414352417,0.000520725385285914,0.00819904170930386,0.216631263494492,0,0.00353575241751969,0
71029857,51.2047592518236,-115.577004282942,0.561763405799866,0,0,0.00026771062402986,0.0308147054165602,0.0923587009310722,0,0.000468493584776297,0.195711523294449,0.108776614069939,0.00983882322907448,0
71029879,51.0691490659908,-114.604451093589,0.0733809396624565,0,0,0.00547485426068306,0.456555545330048,0.170024305582047,0,0.254599452018738,0,0.0241921152919531,0.0157728176563978,0
71029963,51.1132636048097,-115.677521073509,0.690339624881744,0,0,0,0.00334074441343546,0.0700554922223091,0,0,0.23626421391964,0,0,0
71029992,51.5128003437569,-116.179190563318,0.635645031929016,0,0,0,0.0455652438104153,0.0882837027311325,0,0,0.218737453222275,0.00516157830134034,0.00657564774155617,3.13236923830118e-05
71030026,51.5654467353952,-116.153341924399,0.997290074825287,0,0,0,0.00075868732528761,0.00195118947885931,0,0,0,0,0,0
71030071,51.0959514170041,-115.6539788574,0.653481483459473,0,0,0,0.000673258618917316,0.0623977296054363,0,0,0.283447533845901,0,0,0
71030100,51.1958433900165,-115.845500091425,0.55403071641922,0,0,0,0.039133295416832,0.0927132219076157,0,0,0.310280084609985,0.000734540517441928,0.00310814427211881,0
71030177,51.4186138103651,-115.726080499117,0.549683272838593,0,0,0.000739637122023851,0.0788184776902199,0.0727783888578415,0,0,0.29798024892807,0,0,0
71030189,51.2201603533826,-114.434546976481,0.0377829894423485,0,0,0.00399264087900519,0.293132811784744,0.365006446838379,0.00115019909571856,0.138274818658829,0.00605299416929483,0.151476934552193,0.0031301046255976,0
71030191,51.4040256410257,-115.763243589744,0.896417140960693,0,0,0,0,0.0746382474899292,0,0,0.0289446990936995,0,0,0
71030243,51.353302605703,-115.587276302851,0.676502466201782,0,0,0,0.0145084951072931,0.161248043179512,0,0.00582523783668876,0.124158121645451,0,0.0177576169371605,0
71030270,51.600547629188,-116.143072118115,0.461362063884735,0,0,0,0.0474959127604961,0.0868598893284798,0,0,0.39869213104248,0,0.00302652083337307,0.00256349425762892
71030287,51.4018479414558,-116.05402952349,0.698328256607056,0,0,0,0.0204327628016472,0.0637891888618469,0,0,0.215566918253899,0.0014332477003336,0.000449597049737349,0
71030302,51.1899449710374,-115.909394944708,0.684321403503418,0,0,0,0.0380497165024281,0.0623313039541245,0,0,0.215034320950508,0,0.000263239111518487,0
71030308,51.3092514579381,-115.253305379064,0.420329868793488,4.31474461493053e-07,0,3.52136667061131e-05,0.0204448960721493,0.117575071752071,3.01831441902323e-05,0,0.424276083707809,0.00682161003351212,0.0104866782203317,0
71030313,51.2652791899677,-114.358305371971,0.00560011249035597,0,0,0.00074719573603943,0.291056215763092,0.41116851568222,0,0.229078829288483,0.00110305240377784,0.0346748568117619,0.026571212336421,0
71030314,51.2453410637884,-114.530782040062,0.00126532942522317,0,0.000291999109322205,0.00204637600108981,0.418363243341446,0.467838138341904,0.00350398942828178,0.070756696164608,0.000165196048328653,0.0354282855987549,0.000340703205438331,0
71030418,51.0164215186804,-115.598883551674,0.357767939567566,0.00478136260062456,0,0,0.00809523183852434,0.090339720249176,0,0,0.523164927959442,0,0.0122985150665045,0.00355223589576781
71030428,50.9947617342524,-114.678346537165,0.204989150166512,0,0.000795648025814444,0.008466936647892,0.735407054424286,0.039677232503891,0,0.00737477466464043,0,0.000600594095885754,0.00268860463984311,0
71030431,50.9967502492523,-115.242501994018,0.632879614830017,0,0,0,0.0690646171569824,0.115728907287121,0,0,0.173947528004646,0.00684071891009808,0.00153865374159068,0
71030460,51.011675170068,-114.998628968254,0.800121665000916,0,0,0,0.0811076536774635,0.0813543200492859,0,0,0.0255082305520773,0.0118791200220585,2.9031982194283e-05,0
71030474,51.0483375398343,-115.432945315487,0.585047006607056,0.000101644851383753,0,0,0.00387924211099744,0.0762187317013741,0,0,0.304565966129303,0.00990262627601624,0.0202848128974438,0
71030527,51.0358597362562,-115.667375549466,0.430120259523392,0.0048146746121347,0,0,0.0115480544045568,0.0738086998462677,0,0,0.456497669219971,0.0112920626997948,0.00939178559929132,0.00252678408287466
71030563,51.0596442240779,-115.723370240581,0.401115745306015,0.000842475390527397,0,0,0.0289256162941456,0.221982687711716,0,0,0.340299218893051,0,0.00683428393676877,0
71030588,51.0842638929475,-114.751588252484,0.326615184545517,0,0.000610763672739267,0.00521759269759059,0.579889178276062,0.0472601391375065,0,0.0126668596640229,0.000279356259852648,0.0142704760655761,0.0131904734298587,0
71030626,51.1142673406346,-115.202934428531,0.454512029886246,0,0,0,0.0324791930615902,0.12270575761795,0,0,0.379777193069458,0.0105226384475827,3.18001661980816e-06,0
71030660,51.105703114485,-114.895191526017,0.351020157337189,0,0.000117054230940994,0.00570608535781503,0.490379929542542,0.0675434097647667,0,0.00798038672655821,6.71605012030341e-05,0.0428055748343468,0.0343803055584431,0
71030690,51.1065732994313,-115.777315384405,0.479362696409225,0.000245570001425222,0,0,0.0574456378817558,0.210442170500755,6.82138925185427e-05,0,0.242572247982025,0.00470385514199734,0.00502313720062375,0.000136427785037085
71030703,51.1168975475134,-114.718048679868,0.15873546898365,0,0,0.0018112831749022,0.58991539478302,0.144498199224472,0,0.0295646097511053,0.00122121733147651,0.0316248573362827,0.0426290035247803,0
71030716,51.1429364132478,-114.64739764919,0.00863186083734035,0,0.00303893373347819,0.00207868032157421,0.545694172382355,0.241608828306198,0.000364105449989438,0.14337582886219,0,0.0336392968893051,0.0215682853013277,0
71030717,51.122122519716,-115.3023279588,0.271521657705307,0,0,0,0.0355394631624222,0.0999174565076828,0,0,0.495830535888672,0.0968072935938835,0.000383577891625464,0
71030749,51.1184109698755,-114.381550793159,0.00475381826981902,0,0,0,0.101130202412605,0.363297253847122,0.00177954894024879,0.384769827127457,0.00716623570770025,0.116305075585842,0.0207979865372181,0
71030774,51.1223035189129,-115.599616798499,0.739340424537659,0,0,0,0.0190760623663664,0.0356929153203964,0,0,0.19877901673317,0,0.00711155496537685,0
71030784,51.1245460549713,-115.901304552152,0.675830721855164,0,0,0,0.0510992854833603,0.069719634950161,0,0,0.17375060915947,0,0.0263505987823009,0.00324914627708495
71030831,51.1727096315732,-115.004406909369,0.283485651016235,0,0,0.000355098920408636,0.641276001930237,0.045658640563488,0,0.000891800096724182,0,0.0262556914240122,0.00207707565277815,0
71030835,51.1529608579275,-115.119472051309,0.370503753423691,0,0,0,0.165619179606438,0.0837123841047287,0,0,0.37178510427475,0.00417761318385601,0.00420195609331131,0
71030838,51.1534663574323,-115.968905505794,0.459447473287582,0,0,0,0.0148124685510993,0.0433892831206322,0,0,0.397768706083298,0,0.0177720673382282,0.0668099969625473
71030896,51.1477363459474,-115.853183876812,0.47073158621788,0,0,0,0.089542530477047,0.164785742759705,0,0,0.274403989315033,0,0.000536165840458125,0
71030906,51.2148589453637,-114.938101515693,0.382445722818375,0,0,0.00214328151196241,0.394517958164215,0.129698038101196,0,0.000861669075675309,0,0.043220791965723,0.0471125021576881,0
71030944,51.2060104520084,-115.187507022728,0.32008221745491,0.000228039643843658,0,0,0.0461927801370621,0.094293013215065,0,0,0.518626034259796,0,0.0205779355019331,0
71030950,51.1830450833196,-115.367999298796,0.461708575487137,0,0,0,0.0286007337272167,0.196099355816841,0,0,0.301005154848099,0.00779649661853909,0.00478965556249022,0
71031068,51.2695184319834,-114.65581833391,0.161352917551994,0,0,0.0086436178535223,0.415109306573868,0.305233508348465,0.00103997346013784,0.0762977823615074,0.000664427469018847,0.0304740015417337,0.00118441414088011,0
71031077,51.2060823732495,-115.059127293533,0.676317870616913,0,0,0,0.261179447174072,0.024781733751297,0,0.000155185014591552,0.0247390270233154,0,0.0128267304971814,0
71031094,51.2558967160116,-115.614485990585,0.505203306674957,0.00641686143353581,0,0.000198752342839725,0.0460860133171082,0.0446819141507149,0,0.000198752342839725,0.390769124031067,0,0.00547988619655371,0.00096536852652207
71031120,51.241999976797,-116.019043807137,0.688191115856171,0,0,0,0.00721909943968058,0.0385232977569103,0,0,0.219306394457817,0.00429670931771398,0.0211801361292601,0.0212832819670439
71031130,51.2321728368489,-114.810458458889,0.170005843043327,0,0.000861549226101488,0.00160107610281557,0.648763656616211,0.14402037858963,0.000394876726204529,0.00721547473222017,0,0.023976469412446,0.00316072581335902,0
71031155,51.2846021256677,-114.456491546891,0.00109240890014917,0,0.000275846570730209,0.00157464935909957,0.357883661985397,0.21593751013279,0.000945805746596307,0.36931437253952,0.00386506621725857,0.0359519496560097,0.013158768415451,0
71031177,51.2594380195157,-115.332464763282,0.35437399148941,2.74139074463164e-05,0,3.28966889355797e-05,0.0104773016646504,0.0918974056839943,0,0.000630519876722246,0.396272242069244,0.00161375955212861,0.144647002220154,2.74139074463164e-05
71031181,51.2831663414634,-114.721913821138,0.411505699157715,0,0.000211760183447041,0.0126877939328551,0.301914483308792,0.19121627509594,0.000716726761311293,0.0437316410243511,0.000527195865288377,0.0312969833612442,0.00619145669043064,0
71031215,51.2642421089143,-114.489166493236,0.00128515670076013,0,0,0,0.202816218137741,0.382476627826691,0.000208403784199618,0.261751651763916,0.00204897462390363,0.0865814387798309,0.0628315061330795,0
71031267,51.3112219233673,-114.427568186108,0.00489561352878809,0,0.000118251533422153,0.00806459691375494,0.343289524316788,0.205714404582977,0.00342249777168036,0.39418751001358,0.000825229217298329,0.0243927072733641,0.0150896580889821,0
71031276,51.3173672149674,-114.350508119873,0.000881176674738526,0,0.000104901984741446,0,0.264020770788193,0.257756978273392,0.00117490231059492,0.382621854543686,0.00148960819933563,0.0342243723571301,0.0577254518866539,0
71031279,51.3048041873776,-115.058793492996,0.497831761837006,0,0,0.00277870078571141,0.371701270341873,0.111048564314842,9.05789493117481e-05,0,0.00673348736017942,0.00425613485276699,0.00555949658155441,0
71031296,51.2737546935475,-115.701851231395,0.443815052509308,0.00209254282526672,0,0,0.0310124829411507,0.0834729671478271,0,0.000308577757095918,0.433724671602249,0,0.00545796891674399,0.00011571665527299
71031303,51.3174876370422,-114.555854210404,0.00953459646552801,0,0.000357628567144275,0.00692538265138865,0.497761458158493,0.284264415502548,0.00518670259043574,0.159374997019768,0,0.0309945847839117,0.00560026103630662,0
71031359,51.3244591770388,-116.184460570314,0.367752581834793,0,0,0,0.0119056291878223,0.0487484000623226,0,0,0.477923154830933,0.00426648464053869,0.0247581209987402,0.0646456405520439
